Libre wave 151-250 workers=4 glossary=514 entries
FAIL siman_168\beur-hagra\part-001.txt 9 ד fetch failed
FAIL siman_168\pitchei-teshuva\part-001.txt 6 _ fetch failed
FAIL siman_168\baer-heitev\part-001.txt 18 ד fetch failed
FAIL siman_168\rabbi-akiva-eiger-yd\part-001.txt 5 _ fetch failed
FAIL siman_168\beur-hagra\part-001.txt 10 א fetch failed
FAIL siman_168\siftei-kohen\part-001.txt 3 א fetch failed
FAIL siman_168\baer-heitev\part-001.txt 19 _ fetch failed
FAIL siman_168\rabbi-akiva-eiger-yd\part-001.txt 8 _ fetch failed
FAIL siman_168\beur-hagra\part-001.txt 11 ו fetch failed
FAIL siman_168\siftei-kohen\part-001.txt 5 א fetch failed
FAIL siman_168\baer-heitev\part-001.txt 25 ב fetch failed
